id;referencia_oem;pieza;marca;modelo;motor;anio;estado;garantia;disponibilidad;precio;url
69103;7891VT72E;Puerta trasera izquierda;BMW;Serie 3;330i;2008;Desmontada de vehículo;1 año;En stock;428,23 € + IVA;https://desguacesmadridnorte.com/69103-pieza.html
69106;9032YL36D;Capó;AUDI;Q3;2.0 TDI;2014;Comprobada, funcionando;1 año;En stock;337,07 € + IVA;https://desguacesmadridnorte.com/69106-pieza.html
69109;5786KQ28F;Puerta trasera izquierda;VOLKSWAGEN;Passat;1.6 TDI;2007;Sin comprobar;1 año;En stock;237,47 € + IVA;https://desguacesmadridnorte.com/69109-pieza.html
69112;9166DP74E;Módulo electrónico;AUDI;Q3;1.4 TFSI;2019;Desmontada de vehículo;1 año;Bajo pedido 24-48h;194,65 € + IVA;https://desguacesmadridnorte.com/69112-pieza.html
69115;4678EB76F;Paso de rueda trasero izquierdo;VOLKSWAGEN;Polo;1.4 TDI;2020;Comprobada, funcionando;1 año;Bajo pedido 24-48h;53,17 € + IVA;https://desguacesmadridnorte.com/69115-pieza.html
69118;8484YR79C;Puerta delantera derecha;MERCEDES-BENZ;Clase A;180 CDI;2012;Desmontada de vehículo;1 año;Bajo pedido 24-48h;387,56 € + IVA;https://desguacesmadridnorte.com/69118-pieza.html
69119;1542EX86D;Parachoques trasero;RENAULT;Clio;1.2 16v;2018;Desmontada de vehículo;1 año;Bajo pedido 24-48h;98,38 € + IVA;https://desguacesmadridnorte.com/69119-pieza.html
69121;1550KL68A;Puerta delantera izquierda;KIA;Ceed;1.4 CRDi;2019;Desmontada de vehículo;1 año;Bajo pedido 24-48h;270,91 € + IVA;https://desguacesmadridnorte.com/69121-pieza.html
69123;7064DG62B;Piloto trasero derecho;HYUNDAI;i30;1.6 CRDi;2020;Desmontada de vehículo;1 año;En stock;104,00 € + IVA;https://desguacesmadridnorte.com/69123-pieza.html
69124;1731TJ95F;Retrovisor derecho;BMW;Serie 1;116d;2007;Comprobada, funcionando;1 año;En stock;113,25 € + IVA;https://desguacesmadridnorte.com/69124-pieza.html
69127;4652RV26E;Turbo;AUDI;A4;2.0 TFSI;2020;Desmontada de vehículo;1 año;En stock;899,00 € + IVA;https://desguacesmadridnorte.com/69127-pieza.html
69129;9318PN29E;Cerradura puerta delantera;BMW;Serie 3;330i;2009;Comprobada, funcionando;1 año;Bajo pedido 24-48h;81,38 € + IVA;https://desguacesmadridnorte.com/69129-pieza.html
69130;1419SR51F;Bomba de agua;AUDI;A3;2.0 TDI;2006;Comprobada, funcionando;1 año;Bajo pedido 24-48h;82,78 € + IVA;https://desguacesmadridnorte.com/69130-pieza.html
69132;6511QW39F;Portón trasero;KIA;Ceed;1.4 CRDi;2010;Comprobada, funcionando;1 año;Bajo pedido 24-48h;127,02 € + IVA;https://desguacesmadridnorte.com/69132-pieza.html
69133;8402XG71F;Cinturón de seguridad;MERCEDES-BENZ;CLA;200 CDI;2006;Comprobada, funcionando;1 año;En stock;72,59 € + IVA;https://desguacesmadridnorte.com/69133-pieza.html
69135;5469PT63A;Radiador;RENAULT;Megane;1.5 dCi;2009;Desmontada de vehículo;1 año;En stock;50,30 € + IVA;https://desguacesmadridnorte.com/69135-pieza.html
69137;5713QF51E;Cárter;CITROEN;C4;1.6 HDi;2019;Desmontada de vehículo;1 año;Bajo pedido 24-48h;82,54 € + IVA;https://desguacesmadridnorte.com/69137-pieza.html
69139;6413PT95B;Caja de cambios;BMW;X1;20d;2011;Comprobada, funcionando;1 año;En stock;702,75 € + IVA;https://desguacesmadridnorte.com/69139-pieza.html
69142;4513VK82C;Retrovisor izquierdo;TOYOTA;Camry;2.5 Hybrid;2011;Desmontada de vehículo;1 año;En stock;48,18 € + IVA;https://desguacesmadridnorte.com/69142-pieza.html
69144;4039XX23E;Piloto trasero derecho;BMW;Serie 3;320d;2010;Comprobada, funcionando;1 año;En stock;37,22 € + IVA;https://desguacesmadridnorte.com/69144-pieza.html
69146;5211PA17A;Intercooler;PEUGEOT;208;1.6 HDi;2010;Comprobada, funcionando;1 año;En stock;63,79 € + IVA;https://desguacesmadridnorte.com/69146-pieza.html
69149;1622NL87B;Retrovisor izquierdo;HYUNDAI;Tucson;1.7 CRDi;2016;Sin comprobar;1 año;Bajo pedido 24-48h;76,28 € + IVA;https://desguacesmadridnorte.com/69149-pieza.html
69151;5782MB65A;Módulo electrónico;MERCEDES-BENZ;Clase E Coupé;220 CDI;2021;Comprobada, funcionando;1 año;En stock;319,00 € + IVA;https://desguacesmadridnorte.com/69151-pieza.html
69153;4234TB24B;Paso de rueda trasero izquierdo;HYUNDAI;Tucson;2.0 CRDi;2015;Sin comprobar;1 año;En stock;40,80 € + IVA;https://desguacesmadridnorte.com/69153-pieza.html
